site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
GUAT 00SEP25 2000.7337 51812 1081 1  -90.5  -2174 -0.777726   1613669  0.134516  1519  0.867942  0.0000 0.000983 0.000857 0.003923  0.001608  0.022138  0.062337  14.5904040026  -90.5201831306  1519.86794
GUAT 00SEP26 2000.7365 51813 1081 2  -90.5  -2174 -0.779600   1613669  0.137498  1519  0.862203  0.0000 0.000963 0.000789 0.003651  0.044336 -0.074059 -0.109274  14.5904040295  -90.5201831482  1519.86220
GUAT 00SEP27 2000.7392 51814 1081 3  -90.5  -2174 -0.780396   1613669  0.135533  1519  0.851267  0.0000 0.001030 0.000830 0.003854  0.014016 -0.051416 -0.062297  14.5904040117  -90.5201831557  1519.85127
GUAT 00SEP28 2000.7420 51815 1081 4  -90.5  -2174 -0.778530   1613669  0.134851  1519  0.852376  0.0000 0.000978 0.000823 0.003664  0.007126 -0.042110 -0.022126  14.5904040055  -90.5201831386  1519.85238
GUAT 00SEP29 2000.7447 51816 1081 5  -90.5  -2174 -0.779054   1613669  0.134664  1519  0.862775  0.0000 0.001007 0.000842 0.003852  0.033388  0.004237 -0.000404  14.5904040038  -90.5201831436  1519.86278
GUAT 00SEP30 2000.7474 51817 1081 6  -90.5  -2174 -0.782750   1613669  0.134871  1519  0.863770  0.0000 0.000973 0.000833 0.003837  0.028298 -0.015371 -0.006777  14.5904040056  -90.5201831780  1519.86377
GUAT 00OCT01 2000.7502 51818 1082 0  -90.5  -2174 -0.781478   1613669  0.134897  1519  0.851058  0.0000 0.001004 0.000867 0.003850  0.049222 -0.095261 -0.047427  14.5904040058  -90.5201831664  1519.85106
GUAT 00OCT02 2000.7529 51819 1082 1  -90.5  -2174 -0.781425   1613669  0.133339  1519  0.851013  0.0000 0.001021 0.000882 0.003944  0.043143 -0.079062  0.017271  14.5904039917  -90.5201831661  1519.85101
GUAT 00OCT03 2000.7556 51820 1082 2  -90.5  -2174 -0.779609   1613669  0.136252  1519  0.853227  0.0000 0.001015 0.000851 0.003821  0.041782 -0.067741  0.000468  14.5904040180  -90.5201831494  1519.85323
GUAT 00OCT04 2000.7584 51821 1082 3  -90.5  -2174 -0.778276   1613669  0.135948  1519  0.862250  0.0000 0.000985 0.000848 0.003988  0.057743 -0.106814 -0.010487  14.5904040152  -90.5201831372  1519.86225
